Game,Team,spread_barttorvik,win_prob_barttorvik,projected_total_barttorvik,spread_drating,win_prob_drating,projected_total_drating,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya,spread_kenpom,win_prob_kenpom,projected_total_kenpom,spread_massey,win_prob_massey,projected_total_massey,Opening Moneyline,Moneyline Win Probability,Opening Spread,theoddsapi_total,Moneyline Edge,average_total
Chattanooga vs Samford,Samford,,,,,,,0.4,0.515,160.1,,,,,,,,0.515,,,,160.1
Cincinnati vs Texas Tech,Cincinnati,1.9,0.41,128.0,,,,-4.7,0.336,135.6,,,,1.52,0.46,138.0,,0.41,,,,133.86666666666667
Cincinnati vs Texas Tech,Texas Tech,-1.9,0.59,128.0,,,,4.7,0.664,135.6,,,,-1.52,0.54,138.0,,0.59,,,,133.86666666666667
Clemson vs Syracuse,Clemson,,,,,,,12.9,0.8809999999999999,145.1,,,,,,,,0.8809999999999999,,,,145.1
Clemson vs Syracuse,Syracuse,,,,,,,-12.9,0.11900000000000001,145.1,,,,,,,,0.11900000000000001,,,,145.1
Cleveland State vs Detroit,Cleveland State,,,,,,,15.5,0.9229999999999999,135.7,,,,,,,,0.9229999999999999,,,,135.7
Cleveland State vs Detroit,Detroit,,,,,,,-15.5,0.077,135.7,,,,,,,,0.077,,,,135.7
Cleveland State vs Green Bay,Cleveland State,,,,,,,16.4,0.932,144.2,,,,,,,,0.932,,,,144.2
Cleveland State vs Green Bay,Green Bay,,,,,,,-16.4,0.068,144.2,,,,,,,,0.068,,,,144.2
College of Charleston vs Stony Brook,College of Charleston,,,,,,,17.5,0.941,147.7,,,,,,,,0.941,,,,147.7
College of Charleston vs Stony Brook,Stony Brook,,,,,,,-17.5,0.059000000000000004,147.7,,,,,,,,0.059000000000000004,,,,147.7
College of Charleston vs UNC Wilmington,College of Charleston,,,,,,,3.5,0.623,149.9,,,,,,,,0.623,,,,149.9
College of Charleston vs UNC Wilmington,UNC Wilmington,,,,,,,-3.5,0.377,149.9,,,,,,,,0.377,,,,149.9
Colorado B vs BYU,BYU,,,,,,,,,,-2.0,0.56,144.0,,,,,0.56,,,,144.0
Colorado B vs BYU,Colorado B,,,,,,,,,,2.0,0.44,144.0,,,,,0.44,,,,144.0
Colorado St vs Boise St,Boise St,,,,,,,,,,,,,7.5,0.3,127.0,,0.3,,,,127.0
Colorado St vs Boise St,Colorado St,,,,,,,,,,,,,-7.5,0.7,127.0,,0.7,,,,127.0
Colorado State vs Air Force,Air Force,,,,,,,-15.8,0.064,133.1,,,,,,,,0.064,,,,133.1
Colorado State vs Air Force,Colorado State,,,,,,,15.8,0.9359999999999999,133.1,,,,,,,,0.9359999999999999,,,,133.1
Colorado State vs Boise State,Boise State,,,,,,,-1.2,0.455,140.3,,,,,,,,0.455,,,,140.3
Colorado State vs Boise State,Colorado State,,,,,,,1.2,0.545,140.3,,,,,,,,0.545,,,,140.3
Colorado vs Arizona State,Arizona State,,,,,,,0.2,0.506,141.3,,,,,,,,0.506,,,,141.3
Colorado vs Arizona State,Colorado,,,,,,,-0.2,0.494,141.3,,,,,,,,0.494,,,,141.3
Colorado vs BYU,BYU,-4.3,0.66,144.0,,,,6.0,0.7020000000000001,143.9,,,,4.5,0.49,147.0,,0.66,,,,144.96666666666667
Colorado vs BYU,Colorado,4.3,0.34,144.0,,,,-6.0,0.298,143.9,,,,-4.5,0.51,147.0,,0.34,,,,144.96666666666667
Columbia vs Harvard,Columbia,,,,,,,4.1,0.644,147.8,,,,,,,,0.644,,,,147.8
Columbia vs Harvard,Harvard,,,,,,,-4.1,0.35600000000000004,147.8,,,,,,,,0.35600000000000004,,,,147.8
Connecticut vs Butler,Butler,11.1,0.15,149.0,,,,-10.3,0.16899999999999998,144.0,,,,13.0,0.12,145.0,,0.15,,,,146.0
Connecticut vs Butler,Connecticut,-11.1,0.85,149.0,,,,10.3,0.831,144.0,,,,-13.0,0.88,145.0,,0.85,,,,146.0
Connecticut vs DePaul,Connecticut,,,,,,,16.4,0.9359999999999999,147.5,,,,,,,,0.9359999999999999,,,,147.5
Connecticut vs DePaul,DePaul,,,,,,,-16.4,0.064,147.5,,,,,,,,0.064,,,,147.5
